"varietyCode","varietyName","mainSynonym","typeCode","speciesCode","varUnit","qualifyingVariety","use","sex","skinColor","pulpColor","flavour","seeds","breeder","breederMother","crossbreedingOrder","fatherBreeder","refBreederParent","realMother","varCodeMother","realFather","varCodeFather","refRealParent","crossingCode","yearBreeding","varGeneticComposition","countryOrigin","regionOrigin","departmentOrigin","siregallOrigin","frenchRegistration","europeanRegistration","evdb_19-BREDCODE","evdb_20-SAMPSTAT","evdb_E-VARNUMB_vivc_KENN_NR"
"47","Tourbat",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR81",NULL,NULL,"oui","oui",NULL,"300","12590"
"59","Trepat",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR81",NULL,NULL,NULL,"oui",NULL,"300","17468"
"66","Plant droit","Espanenc","typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71",NULL,NULL,"oui","oui",NULL,"300","9536"
"127","Vermentino","Rolle","typ1","esp1","Plante","cv.","CT","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR83",NULL,NULL,"oui","oui",NULL,"300","12989"
"131","Chichaud",NULL,"typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR712",NULL,NULL,NULL,NULL,"300","2554"
"133","Ribier noir",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR712",NULL,NULL,NULL,NULL,"300","16372"
"135","Pougnet",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71",NULL,NULL,NULL,NULL,NULL,"300","9641"
"156","Bakhtiori",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"UZB",NULL,NULL,NULL,NULL,NULL,NULL,"300","908"
"157","Corbeau","Douce noire ; Bonarda de Argentina ; Sevilhão","typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR717",NULL,"oui","oui",NULL,"300","2826"
"180","Perrier noir",NULL,"typ1","esp1","Plante","cv.","T","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"?",NULL,NULL,NULL,NULL,NULL,NULL,"300","9151"
"192","Chouchillon",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR72","FR715",NULL,"oui",NULL,NULL,"300","2619"
"224","Tressot",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR26","FR264",NULL,"oui","oui",NULL,"300","12640"
"267","Debina",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR21",NULL,NULL,NULL,"oui",NULL,"300","3481"
"289","Rotgipfler",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUT","AT11",NULL,NULL,NULL,"oui",NULL,"300","10231"
"300","Sauvignon",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR61","FR612",NULL,"oui","oui",NULL,"300","10790"
"301","Sauvignon gris",NULL,"typ1","esp1","Plante","cv.","C","H","G","inc","sim","pep",NULL,"Sauvignon","(mutation)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR61","FR612",NULL,"oui","oui",NULL,"420",NULL
"316","Verdelho da Madeira",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT",NULL,NULL,NULL,"oui","oui",NULL,"300","22304"
"317","Folle blanche",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bouillet","343","Baroque","380",NULL,NULL,NULL,NULL,"FRA","FR53","FR531",NULL,"oui","oui",NULL,"300","4183"
"320","Prueras",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR53","FR531",NULL,NULL,NULL,NULL,"300","9785"
"326","Merlot",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Magdeleine noire des Charentes","3516","Cabernet franc","324",NULL,NULL,NULL,NULL,"FRA","FR61",NULL,NULL,"oui","oui",NULL,"300","7657"
"390","Verdeca","Lagorthi","typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","ITF4",NULL,NULL,NULL,"oui",NULL,"300","12946"
"401","Tannat",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR62",NULL,NULL,"oui","oui",NULL,"300","12257"
"481","Grand Noir de la Calmette",NULL,"typ1","esp1","Plante","cv.","C","H","N","col","sim","pep","Bouschet","Petit Bouschet","x","Aramon",NULL,"Petit Bouschet","479","Morrastel = Graciano","9",NULL,NULL,NULL,NULL,"FRA","FR81",NULL,NULL,"oui","oui",NULL,"417","5012"
"646","Lignan",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bermestia bianca","1252","Madeleine Salomon = Agostenga blanc","649",NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,"oui",NULL,"300","6982"
"654","Kok pandas",NULL,"typ1","esp1","Plante","cv.","CT","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"UKR",NULL,NULL,NULL,NULL,NULL,NULL,"300","6362"
"656","Précoce de Malingre",NULL,"typ1","esp1","Plante","cv.","CT","H","B","inc","sim","pep","Malingre",NULL,NULL,NULL,NULL,"Bicane","696","Pinot","193",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,"oui","oui",NULL,"417","7249"
"765","Foster's white seedling",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep","Foster",NULL,NULL,NULL,NULL,"Black Morocco","757","Frankenthal = Schiava grossa","766",NULL,NULL,NULL,NULL,"GBR",NULL,NULL,NULL,NULL,NULL,NULL,"417","4204"
"766","Frankenthal",NULL,"typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"?",NULL,NULL,NULL,NULL,"oui",NULL,"300","10823"
"817","Milton",NULL,"typ1","esp1","Plante","cv.","CT","H","Rg","inc","sim","pep","Moreau-Robert",NULL,NULL,NULL,NULL,"Schiras Dr. Houdbine","2178","Chasselas","585",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,"417","7832"
"826","Sulivan blanc",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep","Vibert",NULL,NULL,NULL,NULL,"Schiras Dr. Houdbine","2178","Chasselas","585",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,"417","12048"
"838","Blanc d'ambre",NULL,"typ1","esp1","Plante","cv.","T","F","B","inc","sim","pep","Moreau-Robert",NULL,NULL,NULL,NULL,"Schiras Dr. Houdbine","2178","Chasselas","585",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,"417","1421"
"857","Kizliarsky",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"URS",NULL,NULL,NULL,NULL,NULL,NULL,"300","14841"
"950","Littorio","Pirovano 90","typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep","Pirovano A.","Garganega","x","Verdea",NULL,"Verdea","1258","Dorona di Venezia","1336",NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,NULL,NULL,"417","6863"
"1218","Tavkveri",NULL,"typ1","esp1","Plante","cv.","C","F","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AZE",NULL,NULL,NULL,NULL,"oui",NULL,"300","12276"
"1237","Rossara",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITD2",NULL,NULL,NULL,"oui",NULL,"300","10215"
"1239","Barbera",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITC1",NULL,NULL,"oui","oui",NULL,"300","974"
"1243","Riesling italico","Welschriesling","typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITD3",NULL,NULL,NULL,"oui",NULL,"300","13217"
"1333","Verdicchio bianco",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITE3",NULL,NULL,NULL,"oui",NULL,"300","12963"
"1411","Picadillo",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ESP","ES41",NULL,NULL,NULL,NULL,NULL,"300","9229"
"1494","Verdelho tinto femelle",NULL,"typ1","esp1","Plante","cv.","C","F","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT11","PT11X1",NULL,NULL,"oui",NULL,"300","12957"
"1526","Ramisco",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT17","PT17X3",NULL,NULL,"oui",NULL,"300","9899"
"1527","Arinto do Dão",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Gibi = Hebén","45","Alfrocheiro preto","50",NULL,NULL,NULL,NULL,"PRT","PT16","PT165",NULL,NULL,NULL,NULL,"300","603"
"1529","Tinta Madeira",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT30",NULL,NULL,NULL,NULL,NULL,"300","12478"
"1546","Trincadeira das pratas","Tamarez","typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT18",NULL,NULL,NULL,"oui",NULL,"300","12231"
"1561","Bianchetta trevigiana",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITD3",NULL,NULL,NULL,"oui",NULL,"300","1329"
"1563","Ag isioum",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"RUS","RUX2",NULL,NULL,NULL,NULL,NULL,"300","85"
"1567","Sultanine rouge",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","sim","apyr",NULL,"Sultanine","(mutation)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC",NULL,NULL,NULL,NULL,NULL,NULL,"420","6271"
"1587","Slankamenka blanc",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Balint","2811","Razachie rosie","1887",NULL,NULL,NULL,NULL,"SCG","SC3",NULL,NULL,NULL,"oui",NULL,"300","11866"
"1588","Pécsi Szagos",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","mus","pep",NULL,NULL,NULL,NULL,NULL,"Coarna alba","749","Muscat à petits grains","555",NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,"oui",NULL,"300","9075"
"1652","Vugava",NULL,"typ1","esp1","Plante","cv.","CT","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HRV","HR03","HR036",NULL,NULL,"oui",NULL,"300","13184"
"1664","Cruciulita",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,"300","3267"
"1734","Saperavi",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,"oui","oui",NULL,"300","10708"
"1737","Schiradzouli violet",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"IRN",NULL,NULL,NULL,NULL,NULL,NULL,"300","11746"
"1782","Mandilaria",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR43",NULL,NULL,NULL,"oui",NULL,"300","7300"
"1809","Akominato",NULL,"typ1","esp1","Plante","cv.","CT","F","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC",NULL,NULL,NULL,NULL,NULL,NULL,"300","196"
"1817","Fileri",NULL,"typ1","esp1","Plante","cv.","C","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR25",NULL,NULL,NULL,NULL,NULL,"300","40863"
"1826","Skyloklima",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR22","GR221",NULL,NULL,"oui",NULL,"300","11860"
"1935","Hamman blanc",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TUN",NULL,NULL,NULL,NULL,NULL,NULL,"300","5282"
"1962","Terlaner",NULL,"typ1","esp1","Plante","cv.","C","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITD2",NULL,NULL,NULL,NULL,NULL,"300","12366"
"1966","Halholyag",NULL,"typ1","esp1","Plante","cv.","T","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,"300","24213"
"1987","Tempranilla blanca","Santa Magdalena","typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Mayorquin = Farana","1900","Madeleine Salomon = Agostenga blanc","649",NULL,NULL,NULL,NULL,"ESP",NULL,NULL,NULL,NULL,NULL,NULL,"300","12349"
"2052","Giro sardo",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITG2",NULL,NULL,NULL,"oui",NULL,"300","4811"
"2109","Papazkarasi",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Alba imputotato","44","Prokupac","1630",NULL,NULL,NULL,NULL,"TUR",NULL,NULL,NULL,NULL,"oui",NULL,"300","8923"
"2144","Kanigl grün",NULL,"typ1","esp1","Plante","cv.","C","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,NULL,NULL,"300","17312"
"2172","Neuburger",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Sylvaner","270","Velteliner rouge","284",NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,"oui",NULL,"300","8501"
"2246","Francuse",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Alba imputotato","44","Gouais blanc = Heunisch weiss","211",NULL,NULL,NULL,NULL,"ROU","ROX1","ROX12",NULL,NULL,"oui",NULL,"300","4221"
"2278","Karmir Kakhani",NULL,"typ1","esp1","Plante","cv.","T","F","Rg","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Tana kouzy","2661","Sevan","2784",NULL,NULL,NULL,NULL,"ARM",NULL,NULL,NULL,NULL,NULL,NULL,"300","6000"
"2310","Razachie alba",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,"300",NULL
"2316","Skiadopoulo",NULL,"typ1","esp1","Plante","cv.","CT","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR22","GR221",NULL,NULL,"oui",NULL,"300","11849"
"2360","Vernaccia di San Gimignano",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITE1",NULL,NULL,NULL,"oui",NULL,"300","12998"
"2614","Tarragoni",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ESP","ES51",NULL,NULL,NULL,NULL,NULL,"300","12266"
"2629","Saint-Louis faux",NULL,"typ1","esp1","Plante","cv.","T","F","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Black Morocco","757","Frankenthal = Schiava grossa","766",NULL,NULL,NULL,NULL,"?",NULL,NULL,NULL,NULL,NULL,NULL,"300","41978"
"2668","Tsolikouri",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,"oui",NULL,"300","12710"
"2674","Tchkhaveri",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,"oui",NULL,"300","2594"
"2868","Verjus",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,"300","22916"
"2903","Hunisa",NULL,"typ1","esp1","Plante","cv.","T","F","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"IRN","USCA",NULL,NULL,NULL,NULL,NULL,"300","3438"
"2949","Rosa del Peru",NULL,"typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Mission = Pais","1827","Muscat d'Alexandrie","308",NULL,NULL,NULL,NULL,"PER",NULL,NULL,NULL,NULL,NULL,NULL,"300","1405"
"3010","Battraube",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,NULL,NULL,"300","1041"
"3064","Italia Rubi",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","mus","pep",NULL,"Italia = Pirovano 65","(mutation)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,"oui","oui",NULL,"420",NULL
"3065","Serna INTA","CG 102-354 ; XE 12","typ1","esp1","Plante","cv.","T","H","Rs","inc","mus","apyr","Gargiulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ARG",NULL,NULL,NULL,"oui","oui",NULL,"300","23002"
"3092","Candolle",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR62","FR624",NULL,NULL,NULL,NULL,NULL,"2049"
"3120","Tarrant rot",NULL,"typ1","esp1","Plante","cv.","C","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Péridac","3528","Velteliner rouge","284",NULL,NULL,NULL,NULL,"DEU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24312"
"3131","Best's C",NULL,"typ1","esp1","Plante","cv.","C","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17405"
"3132","Best's M",NULL,"typ1","esp1","Plante","cv.","T","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bicane","696","Muscat de Hambourg","584",NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17407"
"3133","Best's N",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17408"
"3134","Best's Q",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17409"
"3135","Best's R2 V73",NULL,"typ1","esp1","Plante","cv.","C","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17413"
"3136","Best's S",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17414"
